Idx,t,x_pos,x_vel,y_pos,y_vel,z_pos,z_vel,laser_pwr,p_chamb,gassFlow,glassSenseVal,glassLedPwr
129,2023-08-01-12:08:50.151,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
130,2023-08-01-12:08:50.161,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
131,2023-08-01-12:08:50.171,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
132,2023-08-01-12:08:50.181,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2944,41
133,2023-08-01-12:08:50.191,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2949,41
134,2023-08-01-12:08:50.201,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
135,2023-08-01-12:08:50.211,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
136,2023-08-01-12:08:50.221,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
137,2023-08-01-12:08:50.231,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
138,2023-08-01-12:08:50.241,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
139,2023-08-01-12:08:50.251,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
140,2023-08-01-12:08:50.261,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
141,2023-08-01-12:08:50.271,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
142,2023-08-01-12:08:50.281,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2949,41
143,2023-08-01-12:08:50.291,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
144,2023-08-01-12:08:50.301,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
145,2023-08-01-12:08:50.311,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2944,41
146,2023-08-01-12:08:50.321,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
147,2023-08-01-12:08:50.331,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
148,2023-08-01-12:08:50.341,98.62540,0.00500,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
149,2023-08-01-12:08:50.351,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
150,2023-08-01-12:08:50.361,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
151,2023-08-01-12:08:50.371,98.62540,0.00400,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
152,2023-08-01-12:08:50.381,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
153,2023-08-01-12:08:50.391,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
154,2023-08-01-12:08:50.401,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
155,2023-08-01-12:08:50.411,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
156,2023-08-01-12:08:50.421,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
157,2023-08-01-12:08:50.431,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
158,2023-08-01-12:08:50.441,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
159,2023-08-01-12:08:50.451,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
160,2023-08-01-12:08:50.461,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
161,2023-08-01-12:08:50.471,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
162,2023-08-01-12:08:50.481,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
163,2023-08-01-12:08:50.491,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2954,41
164,2023-08-01-12:08:50.501,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
165,2023-08-01-12:08:50.511,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
166,2023-08-01-12:08:50.521,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
167,2023-08-01-12:08:50.531,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
168,2023-08-01-12:08:50.541,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
169,2023-08-01-12:08:50.551,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
170,2023-08-01-12:08:50.561,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
171,2023-08-01-12:08:50.571,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
172,2023-08-01-12:08:50.581,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
173,2023-08-01-12:08:50.591,98.62540,0.00500,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
174,2023-08-01-12:08:50.601,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
175,2023-08-01-12:08:50.611,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
176,2023-08-01-12:08:50.621,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
177,2023-08-01-12:08:50.631,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
178,2023-08-01-12:08:50.641,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
179,2023-08-01-12:08:50.651,98.62540,0.00100,79.99900,79.99900,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
180,2023-08-01-12:08:50.661,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
